Locus	wtA	wtB	wtC								
AT1G71280	0	2	9								
AT1G71290	0	0	0								
AT1G71300	0	1	1								
AT1G71310	140	266	186								
AT1G71320	0	0	0								
AT1G71330	2	14	4								
AT1G71340	653	809	521								
AT1G71350	617	433	671								
AT1G71360	187	261	316								
AT1G71370	7	6	2								
AT1G71380	7	6	4								
AT1G71390	0	0	0								
AT1G71400	240	649	454								
AT1G71410	593	741	424								
AT1G71420	1	24	5								
AT1G71430	742	879	458								
AT1G71440	332	991	492								
AT1G71450	0	0	0								
AT1G71460	54	128	95								
AT1G71470	0	0	0								
AT1G71480	6	19	24								
AT1G71490	0	2	0								
AT1G71500	1015	2495	1754								
AT1G71520	12	14	8								
AT1G71528	3	34	32								
AT1G71530	5	4	1								
AT1G71680	0	0	0								
AT1G71690	0	0	0								
AT1G71691	1	4	13								
AT1G71692	266	517	268								
AT1G71695	7205	13920	6666								
AT1G71696	60	186	63								
AT1G71697	302	471	359								
AT1G71700	0	0	0								
AT1G71710	464	658	441								
AT1G71720	223	508	250								
AT1G71730	1067	2662	2083								
AT1G71740	0	0	0								
AT1G71750	133	253	174								
AT1G71760	9	41	28								
AT1G71770	1	1	0								
AT1G71780	192	382	312								
AT1G71790	320	616	276								
AT1G71800	342	508	426								
AT1G71810	69	179	106								
AT1G71820	1894	1569	1149								
AT1G71828	0	0	0								
AT1G71830	168	288	294								
AT1G71840	446	1274	828								
AT1G71850	9	26	28								
AT1G71860	906	2026	1124								
AT1G71865	429	841	439								
AT1G71866	4	9	4								
AT1G71870	9	40	22								
AT1G71880	1460	962	1007								
AT1G71890	37	31	28								
AT1G71900	334	608	493								
AT1G71910	66	54	27								
AT1G71920	0	0	0								
AT1G71930	34	28	43								
AT1G71940	475	679	498								
AT1G71950	3945	8570	5206								
AT1G71960	702	554	623								
AT1G71970	3460	4259	3392								
AT1G71980	2118	4204	2310								
AT1G71990	30	99	56								
AT1G72000	0	0	0								
AT1G72010	614	850	651								
AT1G72020	26906	32100	21175								
AT1G72030	87	492	207								
AT1G72040	516	1621	1188								
AT1G72050	311	661	421								
AT1G72060	0	0	0								
AT1G72070	1227	3622	2438								
AT1G72080	0	0	0								
AT1G72090	530	1361	844								
AT1G72100	330	502	382								
AT1G72110	0	0	0								
AT1G72120	42	151	119								
AT1G72125	27	35	16								
AT1G72130	95	227	171								
AT1G72131	0	0	0								
AT1G72140	283	383	311								
AT1G72141	0	0	0								
AT1G72150	15187	12097	13672								
AT1G72160	401	431	427								
AT1G72170	542	1294	702								
AT1G72175	210	449	266								
AT1G72180	1571	2768	2099								
AT1G72190	130	378	195								
AT1G72200	1213	1944	1101								
AT1G72210	9	31	25								
AT1G72220	29	58	51								
AT1G72230	1561	1818	1394								
AT1G72240	135	208	126								
AT1G72250	119	202	197								
AT1G72260	0	0	0								
AT1G72270	105	167	160								
AT1G72280	28	72	46								
AT1G72290	45	120	112								
AT1G72300	162	290	198								
AT1G72310	248	546	404								
AT1G72320	369	688	476								
AT1G72330	62	143	80								
AT1G72340	445	1170	398								
AT1G72350	0	0	0								
AT1G72360	27	101	48								
AT1G72370	27830	35983	27634								
AT1G72390	329	634	411								
AT1G72410	672	1553	899								
AT1G72416	216	440	235								
AT1G72420	52	250	152								
AT1G72430	5123	6741	4274								
AT1G72440	829	1298	868								
AT1G72450	840	804	414								
AT1G72460	0	0	0								
AT1G72470	1256	2646	1532								
AT1G72480	609	492	438								
AT1G72490	163	117	151								
AT1G72500	37	290	162								
AT1G72510	7103	4947	4809								
AT1G72520	36	59	61								
AT1G72530	1	10	4								
AT1G72540	0	0	0								
AT1G72550	2512	2582	1778								
AT1G72560	156	208	109								
AT1G72570	0	6	0								
AT1G72580	0	0	1								
AT1G72590	0	0	0								
AT1G72600	198	432	259								
AT1G72610	2861	4801	3139								
AT1G72620	0	3	4								
AT1G72630	1539	2055	1438								
AT1G72640	87	191	98								
AT1G72645	67	433	184								
AT1G72650	314	715	558								
AT1G72660	26	81	18								
AT1G72670	40	93	60								
AT1G72680	270	1119	528								
AT1G72690	763	1557	902								
AT1G72700	524	683	355								
AT1G72710	4412	6521	4795								
AT1G72720	38	86	53								
AT1G72730	681	735	648								
AT1G72740	364	355	410								
AT1G72750	1317	1683	1616								
AT1G72760	0	0	0								
AT1G72770	346	598	423								
AT1G72780	0	0	0								
AT1G72790	511	400	377								
AT1G72800	86	59	67								
AT1G72810	957	1634	1528								
AT1G72820	279	279	203								
AT1G72830	184	406	165								
AT1G72840	490	399	281								
AT1G72850	28	74	36								
AT1G72852	39	73	40								
AT1G72855	57	163	64								
AT1G72860	0	4	0								
AT1G72870	9	25	18								
AT1G72880	1295	1872	1300								
AT1G72890	3	2	5								
AT1G72900	70	61	85								
AT1G72910	1	0	0								
AT1G72920	6	11	4								
AT1G72930	3	7	8								
AT1G72940	125	83	63								
AT1G72950	103	115	108								
AT1G72960	0	0	0								
AT1G72970	4101	10196	6623								
AT1G72980	0	0	0								
AT1G72990	32	100	68								
AT1G73000	6	13	17								
AT1G73010	12	31	18								
AT1G73020	131	147	101								
AT1G73030	546	1211	806								
AT1G73040	35	53	47								
AT1G73050	0	0	0								
AT1G73060	477	1704	834								
AT1G73066	3	7	0								
AT1G73080	106	303	226								
AT1G73090	212	568	278								
AT1G73100	103	331	152								
AT1G73110	189	886	383								
AT1G73120	12366	48160	23853								
AT1G73130	58	121	78								
AT1G73140	1	5	1								
AT1G73150	255	379	170								
AT1G73160	3	10	4								
AT1G73165	0	0	0								
AT1G73170	90	386	241								
AT1G73175	0	0	0								
AT1G73177	0	0	0								
AT1G73180	155	179	154								
AT1G73190	460	1742	1280								
AT1G73200	23	106	131								
AT1G73210	120	163	142								
AT1G73220	758	836	970								
AT1G73230	12717	24177	13179								
AT1G73240	92	243	168								
AT1G73250	123	126	162								
AT1G73260	9426	8757	6214								
AT1G73270	0	2	1								
AT1G73280	0	1	1								
AT1G73290	0	2	2								
AT1G73300	21	11	17								
AT1G73310	1	2	0								
AT1G73320	16	23	16								
AT1G73325	0	0	0								
AT1G73330	270	849	330								
AT1G73340	242	457	214								
AT1G73350	234	1029	517								
AT1G73360	1	1	1								
AT1G73370	111	166	149								
AT1G73380	633	1454	922								
AT1G73390	2174	4591	2749								
AT1G73400	0	2	1								
AT1G73410	27	57	48								
AT1G73430	217	542	287								
AT1G73440	12	5	5								
AT1G73445	0	0	0								
AT1G73450	101	229	113								
AT1G73460	384	826	422								
AT1G73470	178	869	315								
AT1G73480	201	540	249								
AT1G73490	384	837	558								
AT1G73500	711	748	649								
AT1G73510	2	0	0								
AT1G73530	298	792	405								
AT1G73540	517	971	592								
AT1G73550	0	5	1								
AT1G73560	0	0	0								
AT1G73570	0	0	0								
AT1G73580	0	4	2								
AT1G73590	91	281	136								
AT1G73600	0	0	0								
AT1G73602	0	0	0								
AT1G73603	0	0	0								
AT1G73607	0	0	0								
AT1G73610	0	0	0								
AT1G73620	36	64	77								
AT1G73630	21	24	22								
AT1G73640	820	797	435								
AT1G73650	225	419	409								
AT1G73655	190	795	408								
AT1G73660	901	2173	1161								
AT1G73670	736	1075	723								
AT1G73680	163	289	155								
AT1G73687	0	0	0								
AT1G73690	19	63	35								
AT1G73700	0	0	0								
AT1G73710	9	68	52								
AT1G73720	486	1157	639								
AT1G73730	53	56	38								
AT1G73740	79	264	166								
AT1G73750	8	30	14								
AT1G73760	331	617	341								
AT1G73770	52	112	101								
AT1G73780	0	0	0								
AT1G73790	62	191	103								
AT1G73805	3	14	3								
AT1G73810	0	6	2								
AT1G73820	398	942	528								
AT1G73830	403	465	326								
AT1G73840	230	507	315								
AT1G73850	6	28	18								
AT1G73860	13	14	15								
AT1G73870	0	4	8								
AT1G73875	64	207	103								
AT1G73880	171	155	145								
AT1G73885	10	160	135								
AT1G73890	0	0	0								
AT1G73900	0	0	0								
AT1G73910	0	0	0								
AT1G73920	282	949	505								
AT1G73930	1430	2476	1265								
AT1G73940	1187	2616	1730								
AT1G73950	668	907	621								
AT1G73960	101	316	254								
AT1G73965	68	70	48								
AT1G73970	99	385	177								
AT1G73980	139	552	229								
AT1G73990	44	183	168								
AT1G74000	29	44	30								
AT1G74010	71	101	83								
AT1G74020	1905	2592	1767								
AT1G74030	156	509	320								
AT1G74040	17	93	56								
AT1G74045	0	0	0								
AT1G74050	23594	36704	20983								
AT1G74055	54	119	57								
AT1G74060	3729	6627	5408								
AT1G74070	171	501	352								
AT1G74080	72	112	84								
AT1G74088	46	82	47								
AT1G74090	70	161	98								
AT1G74100	3505	8080	5802								
AT1G74110	0	0	0								
AT1G74120	34	98	67								
AT1G74130	0	0	0								
AT1G74140	1	4	1								
AT1G74150	0	0	0								
AT1G74160	399	780	604								
AT1G74170	14	154	56								
AT1G74180	0	4	0								
AT1G74190	0	0	0								
AT1G74200	14	58	40								
AT1G74205	0	1	0								
AT1G74210	83	157	98								
AT1G74220	0	0	0								
AT1G74230	3564	5457	5487								
AT1G74240	68	184	119								
AT1G74250	6	27	95								
AT1G74260	522	1256	795								
AT1G74270	1109	1519	1430								
AT1G74280	191	349	226								
AT1G74290	0	0	0								
AT1G74300	62	87	66								
AT1G74310	110	383	254								
AT1G74320	1113	2257	1637								
AT1G74330	0	10	5								
AT1G74340	573	1586	865								
AT1G74350	0	0	0								
AT1G74360	14	35	13								
AT1G74370	267	651	428								
AT1G74380	4567	4818	3610								
AT1G74390	93	224	157								
AT1G74400	3	25	5								
AT1G74410	312	779	401								
AT1G74420	42	55	32								
AT1G74430	84	163	121								
AT1G74440	11	19	9								
AT1G74448	0	0	0								
AT1G74450	376	798	410								
AT1G74453	0	0	0								
AT1G74456	0	0	0								
AT1G74457	0	0	0								
AT1G74458	143	260	139								
AT1G74460	88	58	41								
AT1G74470	8507	22224	10368								
AT1G74480	0	0	4								
AT1G74490	512	802	384								
AT1G74500	32	48	36								
AT1G74510	552	817	669								
AT1G74520	725	1238	839								
AT1G74530	222	565	292								
AT1G74540	0	0	0								
AT1G74545	0	0	0								
AT1G74550	0	0	0								
AT1G74560	683	1382	821								
AT1G74570	0	0	0								
AT1G74580	0	0	0								
AT1G74590	134	167	128								
AT1G74600	0	0	3								
AT1G74610	0	0	0								
AT1G74620	0	0	0								
AT1G74630	0	0	0								
AT1G74640	197	195	104								
AT1G74650	46	120	84								
AT1G74660	420	567	391								
AT1G74670	355	554	463								
AT1G74680	156	415	282								
AT1G74690	1619	1910	1364								
AT1G74700	98	145	56								
AT1G74710	263	463	401								
AT1G74720	725	1057	1061								
AT1G74730	1535	3170	1850								
AT1G74740	1094	1414	1074								
AT1G74750	1	2	3								
AT1G74770	76	76	90								
AT1G74780	48	110	108								
AT1G74790	2523	2838	2440								
AT1G74800	596	1249	792								
AT1G74810	0	0	0								
AT1G74820	0	0	0								
AT1G74830	12	14	5								
AT1G74840	9407	12427	7703								
AT1G74850	190	329	263								
AT1G74860	220	587	371								
AT1G74870	10	11	0								
AT1G74875	0	0	0								
AT1G74880	412	1552	1066								
AT1G74890	0	1	0								
AT1G74900	16	44	28								
AT1G74910	2425	4118	2185								
AT1G74920	3404	6741	5543								
AT1G74929	0	0	0								
AT1G74930	131	126	70								
AT1G74940	514	1043	696								
AT1G74950	210	408	191								
AT1G74960	706	1763	932								
AT1G74970	13634	26965	19650								
AT1G74990	0	0	0								
AT1G75000	1	6	4								
AT1G75010	72	212	118								
AT1G75020	66	117	84								
AT1G75030	17	19	18								
AT1G75040	0	0	0								
AT1G75050	0	0	0								
AT1G75060	11	20	13								
AT1G75070	0	0	0								
AT1G75080	356	898	638								
AT1G75090	73	144	79								
AT1G75100	133	299	168								
AT1G75110	75	80	69								
AT1G75120	46	103	51								
AT1G75130	233	288	293								
AT1G75140	57	79	79								
AT1G75150	12	40	39								
AT1G75160	21	25	12								
AT1G75163	0	0	0								
AT1G75166	0	0	0								
AT1G75170	299	679	375								
AT1G75180	851	1299	829								
AT1G75190	1131	1338	1904								
AT1G75200	59	89	62								
AT1G75210	140	373	277								
AT1G75220	5732	13139	5371								
AT1G75230	495	1039	642								
AT1G75240	5942	5686	7035								
AT1G75250	0	0	0								
AT1G75260	10	11	15								
AT1G75261	0	0	0								
AT1G75270	601	1664	787								
AT1G75280	204	448	315								
AT1G75290	0	0	2								
AT1G75295	26	178	62								
AT1G75300	4	1	0								
AT1G75310	0	0	0								
AT1G75330	391	988	666								
AT1G75335	0	0	0								
AT1G75340	135	357	171								
AT1G75350	32299	49196	35406								
AT1G75360	0	1	4								
AT1G75370	98	50	52								
AT1G75380	1298	2108	1891								
AT1G75388	0	0	0								
AT1G75390	0	0	0								
AT1G75394	0	0	0								
AT1G75400	1138	1509	828								
AT1G75410	156	289	195								
AT1G75420	224	278	210								
AT1G75430	1	4	0								
AT1G75440	359	750	580								
AT1G75450	68	178	152								
AT1G75460	2	0	0								
AT1G75470	0	0	0								
AT1G75480	2	2	1								
AT1G75490	23	43	24								
AT1G75500	9471	9788	8276								
AT1G75510	223	359	256								
AT1G75520	6	21	16								
AT1G75530	0	0	0								
AT1G75540	16676	18127	9955								
AT1G75550	2	9	21								
AT1G75560	1169	1704	1570								
AT1G75570	0	0	0								
AT1G75580	39	71	63								
AT1G75590	56	78	90								
AT1G75600	1	4	0								
AT1G75610	0	0	0								
AT1G75620	8	9	12								
AT1G75630	3077	5880	3075								
AT1G75640	2	7	6								
AT1G75650	0	0	0								
AT1G75660	96	177	93								
AT1G75670	137	310	175								
AT1G75680	3233	5065	3732								
AT1G75690	325	1012	518								
AT1G75700	0	2	1								
AT1G75710	384	418	388								
AT1G75717	0	0	0								
AT1G75720	5	3	7								
AT1G75730	33	55	67								
AT1G75740	0	0	0								
AT1G75750	40695	58375	40301								
AT1G75760	662	671	613								
AT1G75770	413	508	337								
AT1G75780	13656	10057	10926								
AT1G75790	0	0	0								
AT1G75800	3188	6189	3974								
AT1G75810	1023	1226	833								
AT1G75820	104	212	147								
AT1G75830	0	0	0								
AT1G75840	5437	4588	3661								
AT1G75850	761	1613	764								
AT1G75860	419	952	619								
AT1G75870	0	0	0								
AT1G75880	56	55	56								
AT1G75890	0	2	2								
AT1G75891	0	0	0								
AT1G75900	2290	2109	1698								
AT1G75910	0	0	0								
AT1G75920	2	1	2								
AT1G75930	0	0	0								
AT1G75940	0	0	0								
AT1G75950	5335	6812	4306								
AT1G75960	7	11	15								
AT1G75970	0	0	0								
AT1G75980	56	185	120								
AT1G75990	1802	1505	1224								
AT1G76000	0	0	0								
AT1G76010	9884	10379	8205								
AT1G76020	19	31	28								
AT1G76030	7341	9976	8516								
AT1G76040	27	65	48								
AT1G76050	127	381	163								
AT1G76060	526	1097	619								
AT1G76062	0	0	0								
AT1G76065	24	91	22								
AT1G76070	269	535	371								
AT1G76080	54	136	124								
AT1G76090	15612	12102	9211								
AT1G76100	815	1694	1440								
AT1G76110	20	27	18								
AT1G76120	51	78	83								
AT1G76130	22	82	45								
AT1G76135	0	0	0								
AT1G76140	177	536	297								
AT1G76150	495	1344	821								
AT1G76160	488	786	589								
AT1G76170	26	182	63								
AT1G76180	54880	30329	30685								
AT1G76185	847	1290	903								
AT1G76190	0	0	0								
AT1G76200	8076	22170	12907								
AT1G76210	9	9	18								
AT1G76220	53	196	107								
AT1G76230	44	71	52								
AT1G76240	410	665	621								
AT1G76250	34	61	35								
AT1G76260	187	437	255								
AT1G76270	372	612	359								
AT1G76280	144	350	159								
AT1G76290	0	0	0								
AT1G76300	97	280	151								
AT1G76310	0	0	0								
AT1G76320	56	204	101								
AT1G76330	0	0	0								
AT1G76340	1027	815	527								
AT1G76350	124	158	98								
AT1G76360	43	101	63								
AT1G76370	0	0	0								
AT1G76380	252	630	478								
AT1G76390	222	440	299								
AT1G76400	869	2304	1400								
AT1G76405	480	1740	762								
AT1G76410	254	307	283								
AT1G76420	1	5	3								
AT1G76430	80	59	51								
AT1G76440	544	1592	863								
AT1G76450	1780	4118	2069								
AT1G76460	672	1625	690								
AT1G76470	0	3	2								
AT1G76480	0	0	0								
AT1G76490	29936	28508	26104								
AT1G76500	414	738	697								
AT1G76510	365	701	660								
AT1G76520	179	592	195								
AT1G76530	0	0	0								
AT1G76540	409	438	272								
AT1G76550	863	1372	879								
AT1G76560	1050	2349	1681								
AT1G76570	13	88	26								
AT1G76580	259	509	350								
AT1G76590	417	531	275								
AT1G76600	201	555	298								
AT1G76610	1	3	9								
AT1G76620	60	110	78								
AT1G76630	0	3	10								
AT1G76640	0	0	0								
AT1G76650	1840	1701	857								
AT1G76660	1841	1804	1221								
AT1G76670	1201	3048	2003								
AT1G76680	423	1072	526								
AT1G76690	159	337	200								
AT1G76700	398	654	337								
AT1G76705	19	46	23								
AT1G76710	175	506	264								
AT1G76720	0	0	0								
AT1G76728	0	0	0								
AT1G76730	162	670	334								
AT1G76740	4	28	9								
AT1G76750	0	0	0								
AT1G76760	292	346	213								
AT1G76770	12	27	18								
AT1G76780	1	1	2								
AT1G76790	745	1724	1153								
AT1G76800	48	36	43								
AT1G76810	136	305	270								
AT1G76820	8	38	33								
AT1G76830	0	0	0								
AT1G76840	0	0	0								
AT1G76850	398	731	491								
AT1G76860	337	919	545								
AT1G76870	1	12	29								
AT1G76878	70	201	130								
AT1G76880	466	690	744								
AT1G76890	268	640	519								
AT1G76892	2	20	2								
AT1G76900	147	242	118								
AT1G76910	0	0	0								
AT1G76911	0	0	0								
AT1G76920	2572	5180	3389								
AT1G76930	36071	59403	33784								
AT1G76940	122	433	182								
AT1G76950	202	237	187								
AT1G76952	0	0	0								
AT1G76954	0	0	0								
AT1G76955	12	6	0								
AT1G76960	0	0	0								
AT1G76965	0	0	0								
AT1G76970	78	117	82								
AT1G76980	125	182	134								
AT1G76990	2951	3991	2663								
AT1G76994	0	0	0								
AT1G77000	40	59	60								
AT1G77010	0	10	0								
AT1G77020	42	84	87								
AT1G77030	230	546	265								
AT1G77040	0	0	0								
AT1G77060	235	543	278								
AT1G77080	1635	2892	1645								
AT1G77090	232	1027	436								
AT1G77093	0	0	0								
AT1G77095	0	0	0								
AT1G77100	0	4	12								
AT1G77110	1	10	3								
AT1G77120	1235	1340	1038								
AT1G77122	98	457	240								
AT1G77130	1379	1601	1410								
AT1G77131	1	15	8								
AT1G77138	15	46	15								
AT1G77140	152	282	252								
AT1G77145	208	122	97								
AT1G77150	0	0	0								
AT1G77160	0	0	0								
AT1G77170	2	28	23								
AT1G77180	1380	2650	1451								
AT1G77190	0	0	0								
AT1G77200	119	304	162								
AT1G77210	68	118	82								
AT1G77220	122	197	136								
AT1G77230	441	582	374								
AT1G77235	0	0	0								
AT1G77240	0	0	0								
AT1G77250	226	413	277								
AT1G77260	780	1562	871								
AT1G77270	34	103	47								
AT1G77280	0	1	5								
AT1G77290	71	219	178								
AT1G77300	67	164	72								
AT1G77310	8	33	26								
AT1G77320	66	96	51								
AT1G77330	18715	14292	10634								
AT1G77340	0	0	0								
AT1G77350	626	2044	1002								
AT1G77360	0	2	1								
AT1G77370	1275	3617	1431								
AT1G77380	257	531	432								
AT1G77390	0	2	0								
AT1G77400	61	96	97								
AT1G77405	0	0	0								
AT1G77410	35	139	58								
AT1G77420	199	260	267								
AT1G77440	1710	3870	2160								
AT1G77450	67	183	84								
AT1G77460	126	249	216								
AT1G77470	301	516	360								
AT1G77480	877	2124	1803								
AT1G77490	379	624	286								
AT1G77500	164	290	229								
AT1G77510	147	316	286								
AT1G77520	11	21	18								
AT1G77525	0	0	0								
AT1G77530	42	84	59								
AT1G77540	305	466	506								
AT1G77550	33	62	34								
AT1G77560	0	0	0								
AT1G77570	126	306	129								
AT1G77580	24	58	51								
AT1G77590	129	266	180								
AT1G77600	10	23	39								
AT1G77610	1303	1486	1327								
AT1G77620	66	171	92								
AT1G77630	241	368	337								
AT1G77640	143	91	50								
AT1G77650	0	0	0								
AT1G77655	0	0	0								
AT1G77660	143	139	161								
AT1G77670	216	421	318								
AT1G77680	403	824	685								
AT1G77682	0	0	0								
AT1G77690	793	661	542								
AT1G77700	6	6	5								
AT1G77710	1874	4354	2400								
AT1G77720	233	446	266								
AT1G77730	0	0	0								
AT1G77740	589	603	562								
AT1G77746	0	0	0								
AT1G77750	192	761	440								
AT1G77760	3386	7368	5640								
AT1G77765	29	54	33								
AT1G77770	1321	1444	1016								
AT1G77780	0	0	0								
AT1G77790	1	0	0								
AT1G77800	99	512	284								
AT1G77810	315	530	394								
AT1G77815	0	0	0								
AT1G77820	2	0	0								
AT1G77830	0	0	0								
AT1G77840	2084	3233	2595								
AT1G77850	131	230	108								
AT1G77855	100	89	53								
AT1G77860	0	0	0								
AT1G77870	200	396	185								
AT1G77880	0	0	0								
AT1G77885	1013	1146	846								
AT1G77890	17	60	25								
AT1G77910	0	0	0								
AT1G77920	770	1207	924								
AT1G77930	190	463	229								
AT1G77932	2	0	0								
AT1G77940	7462	5259	4964								
AT1G77950	262	1250	563								
AT1G77960	1	2	0								
AT1G77980	0	0	0								
AT1G77990	9	28	13								
AT1G77992	0	3	1								
AT1G78000	916	1159	1029								
AT1G78010	78	367	75								
AT1G78020	73	98	117								
AT1G78030	4	2	3								
AT1G78040	56291	80850	50818								
AT1G78050	89	153	92								
AT1G78060	403	1096	741								
AT1G78070	55	65	68								
AT1G78080	1589	1869	1230								
AT1G78090	30	40	45								
AT1G78095	0	0	0								
AT1G78100	531	980	515								
AT1G78110	76	60	118								
AT1G78120	2	11	9								
AT1G78130	108	354	182								
AT1G78140	27	72	43								
AT1G78150	3899	6072	4744								
AT1G78160	0	0	0								
AT1G78170	1374	2102	1598								
AT1G78172	0	0	0								
AT1G78180	108	285	179								
AT1G78190	0	0	0								
AT1G78200	219	320	191								
AT1G78206	0	0	0								
AT1G78210	298	534	274								
AT1G78220	0	0	0								
AT1G78230	248	390	204								
AT1G78240	475	556	494								
AT1G78250	0	0	0								
AT1G78260	818	1380	1054								
AT1G78265	185	515	381								
AT1G78270	217	743	419								
AT1G78280	100	203	104								
AT1G78290	127	350	215								
AT1G78300	6692	11780	6919								
AT1G78310	283	236	202								
AT1G78320	6	15	9								
AT1G78330	0	0	0								
AT1G78340	850	699	501								
AT1G78350	0	0	0								
AT1G78355	0	0	0								
AT1G78360	2	14	12								
AT1G78370	1477	3175	2560								
AT1G78380	15182	30111	20247								
AT1G78390	0	2	0								
AT1G78400	0	0	0								
AT1G78410	27	17	12								
AT1G78420	836	1121	786								
AT1G78430	12	46	45								
AT1G78440	1	3	5								
AT1G78450	13	14	5								
AT1G78460	383	558	287								
AT1G78470	5	4	0								
AT1G78476	0	1	0								
AT1G78478	0	0	0								
AT1G78480	28	108	79								
AT1G78490	66	78	70								
AT1G78500	0	0	0								
AT1G78510	272	575	273								
AT1G78520	0	0	0								
AT1G78530	8	32	46								
AT1G78540	9	30	13								
AT1G78550	45	97	55								
AT1G78560	584	702	560								
AT1G78570	1661	2656	2084								
AT1G78580	46	97	81								
AT1G78590	109	247	123								
AT1G78600	213	569	423								
AT1G78610	866	1210	994								
AT1G78620	0	0	1								
AT1G78630	14476	13065	11171								
AT1G78640	0	1	0								
AT1G78650	98	241	303								
AT1G78660	4281	10187	4053								
AT1G78670	299	778	443								
AT1G78680	1514	4639	2421								
AT1G78690	38	69	35								
AT1G78700	773	1403	783								
AT1G78710	0	0	0								
AT1G78720	0	4	0								
AT1G78730	65	139	53								
AT1G78740	0	0	0								
AT1G78750	2	3	2								
AT1G78760	0	0	0								
AT1G78770	39	90	39								
AT1G78780	31	77	22								
AT1G78790	128	414	182								
AT1G78800	413	1038	561								
AT1G78810	128	249	169								
AT1G78815	4	5	0								
AT1G78820	66	149	101								
AT1G78830	659	768	570								
AT1G78840	0	0	0								
AT1G78850	9256	13606	10189								
AT1G78860	2	11	4								
AT1G78865	5	7	4								
AT1G78870	2860	5418	2717								
AT1G78880	0	0	0								
AT1G78882	0	0	0								
AT1G78890	699	2298	1072								
AT1G78895	589	1110	314								
AT1G78900	2421	6675	4573								
AT1G78910	38	148	107								
AT1G78915	102	335	235								
AT1G78920	1280	2160	1321								
AT1G78922	0	0	0								
AT1G78930	22	96	33								
AT1G78940	23	30	14								
AT1G78950	3	3	1								
AT1G78955	0	0	0								
AT1G78960	52	240	92								
AT1G78970	146	225	174								
AT1G78980	0	0	0								
AT1G78990	0	0	0								
AT1G78995	121	209	142								
AT1G79000	253	315	210								
AT1G79010	4885	8202	5281								
AT1G79020	213	537	264								
AT1G79030	149	187	174								
AT1G79040	18283	27613	19394								
AT1G79050	154	486	227								
AT1G79060	123	82	95								
AT1G79070	540	499	409								
AT1G79075	0	0	0								
AT1G79080	404	665	524								
AT1G79090	1144	1133	913								
AT1G79100	0	0	0								
AT1G79110	129	67	61								
AT1G79120	20	50	16								
AT1G79130	73	52	24								
AT1G79150	70	220	155								
AT1G79160	3867	5209	4166								
AT1G79170	0	0	0								
AT1G79180	70	50	37								
AT1G79190	58	175	112								
AT1G79200	263	820	509								
AT1G79210	2387	3813	2309								
AT1G79220	199	336	183								
AT1G79230	2852	5571	3601								
AT1G79240	0	0	0								
AT1G79245	218	1032	269								
AT1G79250	9	6	5								
AT1G79260	1155	2234	1384								
AT1G79270	1370	1615	1347								
AT1G79280	5	53	41								
AT1G79290	0	0	0								
AT1G79300	0	0	0								
AT1G79310	37	88	52								
AT1G79320	16	48	24								
AT1G79330	13	36	11								
AT1G79340	24929	19229	16861								
AT1G79350	35	74	46								
AT1G79360	93	257	149								
AT1G79370	0	0	0								
AT1G79380	632	1694	911								
AT1G79390	634	1000	341								
AT1G79400	0	0	0								
AT1G79410	278	352	255								
AT1G79420	88	135	107								
AT1G79430	190	296	315								
AT1G79440	990	1231	1205								
AT1G79450	257	426	282								
AT1G79460	118	145	109								
AT1G79470	44	87	36								
AT1G79480	9	11	20								
AT1G79490	16	39	31								
AT1G79500	557	1163	826								
AT1G79510	48	136	82								
AT1G79520	113	285	141								
AT1G79529	1	19	17								
AT1G79530	1525	2913	2038								
AT1G79540	52	152	76								
AT1G79550	11018	10905	23071								
AT1G79560	203	612	436								
AT1G79570	125	205	167								
AT1G79580	127	256	123								
AT1G79590	741	1230	783								
AT1G79600	114	339	117								
AT1G79610	71	162	107								
AT1G79620	122	249	190								
AT1G79630	382	523	334								
AT1G79640	0	0	0								
AT1G79650	627	1114	702								
AT1G79660	431	735	557								
AT1G79670	167	255	191								
AT1G79680	0	4	0								
AT1G79690	232	458	318								
AT1G79700	460	1320	460								
AT1G79710	0	0	2								
AT1G79720	145	262	191								
AT1G79730	251	816	474								
AT1G79740	1	14	6								
AT1G79750	6210	11595	6133								
AT1G79760	50	33	35								
AT1G79770	2	5	3								
AT1G79780	1	2	0								
AT1G79790	216	813	363								
AT1G79800	0	0	0								
AT1G79810	165	537	284								
AT1G79820	102	356	171								
AT1G79830	2716	5005	3483								
AT1G79840	34	79	27								
AT1G79850	10604	22848	15796								
AT1G79860	5	14	1								
AT1G79870	2418	5497	3346								
AT1G79880	201	341	219								
AT1G79890	0	2	0								
AT1G79900	20	53	41								
AT1G79910	17	44	36								
AT1G79915	0	2	0								
AT1G79920	3489	3028	2954								
AT1G79930	1153	1433	1411								
AT1G79940	607	1520	1347								
AT1G79950	2	78	32								
AT1G79960	0	0	0								
AT1G79970	848	1367	815								
AT1G79980	0	0	0								
AT1G79990	3960	8231	5521								
AT1G80000	2266	3135	2010								
AT1G80010	6	36	22								
AT1G80020	715	1080	700								
AT1G80030	158	320	267								
AT1G80040	6384	6545	4417								
AT1G80050	368	706	286								
AT1G80060	2	7	4								
AT1G80070	172	545	467								
AT1G80080	58	282	143								
AT1G80090	101	173	70								
AT1G80100	0	3	1								
AT1G80110	101	100	63								
AT1G80120	101	234	123								
AT1G80130	23	41	14								
AT1G80133	0	0	0								
AT1G80140	0	0	0								
AT1G80150	115	270	88								
AT1G80160	274	640	290								
